seq,district_group,district,project_name,available_units,area_seg,price_seg,finish_type,delivery_time,pros,cons
6,市内六区,河东区,城投万欣城,＞50套,高层85/110/120/89/117㎡洋房132/143㎡,"荷园高层110：290万（仅余顶楼）
荷园高层120：330-350万（团装）
梅园高层89：250-270万（团装）
梅园高层117：350-370万（团装）
梅园洋房132：460-500万
梅园洋房143：520-550万",毛坯,荷园2024年12月，梅园25年8月交房,可选性多，位置好，价格适中,梅兰竹菊风荷，小区很多，大部分都是四栋楼，绿化问题，具体细分到自己小区。
7,市内六区,河东区,雍祥园,＞50套,高层：84/94/110/115/119/122/126/146㎡,"高层：84平米：225万左右
94平米：235万左右
110平米：280万左右
115平米：270-290万
119平米：245-255万
122平米：265-280
126平米：255-265万
147平米：300-320万",毛坯,现房,现房，可选，交付品质不错,产品过时，户型设计差，大高层，周边配套一般
8,市内六区,河东区,农垦含章雅著,＞50套,高层：85/95/105/119/131平米 洋房：139/145平米,高层85平米:258万 高层95平米：290-340万 高层105平米：330-360万 高层119平米：385-440万 高层131平米：445-470万 洋房139平米：560万 洋房145平米：720-750万,毛坯,2023-09-30 00:00:00,现房可选，户型多，园林不错,户型一般，中环线旁，快速路旁，有一定噪音，学校一般
9,市内六区,河东区,格调榴园,＞50套,高层：90/99/115/120/128/170㎡：洋房：121/131/140,"高层90平米：230-260万
高层99平米：250-280万
高层115平米：305-330万
高层120平米：316-325万
高层128平米：332-370万
高层170平米：461-482万
洋房121平米：370-430万
洋房131平米：430-460万
洋房140平米：463-496万",毛坯/精装,现房,可选性多，园林好，地铁近,价格高，河东区边缘位置，格调卖到现房
10,市内六区,河西区,创意之城蘭园,＞50套,小号高80m²89m²  洋房113m²,小高265-320万，洋房450-600万,毛坯,2025-10-31 00:00:00,产品好，园林绿化不错，价格合适,柳林刚起步，周期会长，需要等
11,市内六区,河西区,中交融正,＞50套,高层88平米/108平米,"88平283-290万，108平360-380万
工抵房限量",毛坯,现房,现房，即买即住转学可以看,四栋楼，小海地，
12,市内六区,河西区,中交融成,＞50套,小高层89.105.140㎡,小高 290-600万,毛坯,2024.5（4月8日下房本）,现房，位置比融正好，,价格不便宜，周边空地多
13,市内六区,河西区,华宇·御熹臺,10-50套,叠拼：上叠143平，叠下143平,"上叠暂时无房，下叠：660-700万
下叠特惠房一口价663万",毛坯,现房,现房，别墅产品,小海地，周边城市界面一般，可选性低
14,市内六区,河西区,中海 · 左岸源境,＞50套,高层：82.89㎡洋房：91.105.125㎡,高层：270万起。洋房：350万起，商业售罄,毛坯,2024-04-01 00:00:00,现房，即买即住,可选性低，
15,市内六区,河西区,中海学府源境,＞50套,小高层：85、105㎡洋房：91.108.126㎡,126户型520-620万，108户型435-520万，91户型365-390万,毛坯,2025-10-01 00:00:00,户型不错，价格合适,位置河西最南部，新梅江，
16,市内六区,河西区,联发城投梅江和悦,＞50套,小高98/116 洋房128/143,小高98/353-363 小高116/418-430 洋房128/512-538 洋房143/572-601,毛坯,2026-04-01 00:00:00,户型好，产品力强，,联发之前交付小区一般，周边慌，只有自己在这，配套
17,市内六区,南开区,启航精英公寓,＞50套,"高层50-70平
高层70-82平
高层85平","高层50-70平：203万-250万
高层70-82平：246—290万
高层85平：280-290万",精装,精装现房,现房可选，便宜,公寓，年限问题，流通性问题
18,市内六区,南开区,保利云禧,10-50套,高层：88、103㎡洋房：87、106、112、125、128、143㎡,"高层：88㎡360万-370万，
103㎡：440万左右，
洋房：106㎡：550-570万，
112㎡600-640万，
125/128㎡600-700万，
143㎡800-850万",毛坯,现房,现房，保利品质，地铁上盖,可选性低。价格贵产品落后
19,市内六区,南开区,金融街融府,＞50套,小高层89-115㎡,89㎡310-340万，115㎡400-435万,毛坯,2026-06-30 00:00:00,产品力不错，户型好，地铁上盖3.0,楼栋少，题量小，金融街其他项目交付问题。
20,市内六区,南开区,招商江山玺,＞50套,小高143㎡，高层143、169㎡、189㎡,"143平米小高：660～725万左右 
143平米高层 ：577～600万左右
169平米高层：780~865万左右
189平米高层：950万左右",精装,一期：2024/6/30（1#9#11#）二期：2025/3/31（2#4#）,产品好，品质不错，现房改善,纯大高层，隔壁快速路，天拖相对较差的位置，南开中片
21,市内六区,南开区,金地阅千峯,＞50套,高层171平 洋房160/180平米,高层171平：900-1000万 洋房172：930-990万 180平:1200-1300万,精装,高层24年底/洋房25年底,产品好，品质不错，现房改善,设计不是最新的了，略有过时，高端产品里面略微差一些，位置核心但是处于万德庄
22,市内六区,南开区,格调隐翠轩,＞50套,"高层：94㎡117㎡128㎡
小高层：143㎡
洋房：143㎡","高层：94㎡370-390万
117㎡470-490万
128㎡490万-540万
小高层：143㎡620-650万
洋房：143㎡660-720万",精装,2026年年底；2027年年底,产品好，价格适中，地铁近,黄河道老五金城位置 周边周期长，体量大
23,环城四区,北辰区,中粮辰悦,＞50套,公寓43-63；商墅158m²,公寓35-40万；商墅160-200万,毛坯,现房,价格便宜，位置核心，产品不错,公寓年限问题，居住人群圈层问题，
24,环城四区,北辰区,金汇云璟,＞50套,小高：87、99平；洋房97、128平,小高125-165万，洋房157-250万,精装,2025-12-31 00:00:00,价格合适，准现房，产品可选,开发商之前为金侨，出现过资金问题，项目品质不一定保障
25,环城四区,东丽区,金地·万悦城,＞50套,"二期小高层：72㎡/77㎡/82㎡/89㎡/100㎡,洋房95㎡/115㎡","高层：
72㎡78－84万
77㎡85－90万
82㎡90－98万
89㎡107－115万
101㎡123-135万
洋房：
95㎡135万－145万
115㎡175－185万",毛坯,高层2025/6/30，洋房2025/9/30,1.地铁上盖2.人气足，生活氛围好3.价格便宜4.有学校,1.板块商品房扎堆，但刚开发，空地依然很多，2.东侧为大荒地距离二殡4.5公里有一部分人介意3.南侧荒地
26,环城四区,东丽区,金隅金玉府,＞50套,85/92/99/105m²," 高层：
85㎡：104万-110万
92㎡：100万-115万
99㎡：100万-120万
105㎡：130万-140万",毛坯,现房,1.地铁上盖2.人气足，生活氛围好3.价格便宜4.有学校,位置一般，本地人很少选择，户型差，产品力不行跟不上时代了
27,环城四区,东丽区,东方和府,10-50套,89㎡小高，89、105、119㎡洋房,"小高89平米：187-210万
洋房89平米：197-210万
洋房105平米：215-235万
洋房119平米：260-275万",毛坯,现房,现房可选，纯洋房，城投第一个项目,物业外包，产品力一般，位置比较差
28,环城四区,东丽区,天骥智谷,＞50套,高层：83/92/113㎡,"83㎡：58-60万
92㎡：65-70万
113㎡：71-80万",毛坯,现房,东丽湖环境不错，价格便宜，可选,四大湖众所周知，卖了N年还有房，配套一般
29,环城四区,东丽区,金融街·听湖小镇,＞50套,"洋房：82/115/136㎡ 
别墅：128/161/195㎡","洋房82㎡：70万起；
洋房115㎡：85万起；
洋房136㎡：96万起；
别墅128㎡：138万起；
别墅161平米280万起；
别墅195㎡：268万起",毛坯,现房,东丽湖环境不错，价格便宜，可选，亮点小别墅还不错,四大湖众所周知，卖了N年还有房，配套一般，
30,环城四区,东丽区,万通金府国际,10-50套,公寓：70、87、95、120、150,"70平：42万起
87平：62万左右
95平：66万左右
120平：89万左右
150平：110万左右",精装,现房,现房，户型多，,公寓产品，年限问题，流通性差
31,环城四区,东丽区,天安象屿智慧城-都城,＞50套,高层80㎡/98㎡/113㎡,"高层80平米48万起
高层98平米79-85万
高层113平米90-97万",毛坯,98.113平米2026年12月底交房，其余都是现房,属于东丽湖，但更靠近华明空港，位置优势,孤盘，除了自己，一无所有。
32,环城四区,东丽区,百郦荣锦苑,＞50套,小高82/90/94/113/122㎡,"82平：134-145万；
90平：145-160万；
94平：167-180万；
113平：213-224万；
122平：255-280万",毛坯,现房,现房，位置好，地铁商业近。,延期交付了一段时间，小高层，产品一般
33,环城四区,东丽区,新业御园,＞50套,小高：90、95、120㎡洋房130㎡,"小高：90平米120-135万 
小高95平米130-145万 
小高120平米172-200万 
洋房：130平米235-245万",毛坯,现房,产品多，可选，地铁较近,产品力拉胯
34,环城四区,津南区,中海国际公园城,＞50套,高层77/85/89/109/128㎡， 洋房89㎡，叠拼97/103/109/115㎡，联排128/154/185㎡,"高层49-90万，
洋房80万左右，
叠拼100-170万，
联排175-350万",毛坯,"高层、洋房、叠拼：现房
联排：北区现房，南区2025.5底",现房，便宜，景色好,八里台啊八里台，外地人心中的痛啊。全国人民都知道啊
35,环城四区,津南区,爱情·花园里,＞50套,洋房 88/108/117㎡,洋房 72-120万,毛坯,现房,现房便宜,八里台啊八里台，外地人心中的痛啊。全国人民都知道啊
36,环城四区,津南区,四季春晓,＞50套,洋房：78-115㎡,洋房78平126-140万 101平:170-180万 115平:185-195万,毛坯,2025.6.30,便宜，海教园,隔壁颐景园啊，海教园最南侧，阳光城 金科难兄难弟了
37,环城四区,津南区,保利西棠和煦,＞50套,二期洋房118/137平米，三期洋房86/107平米,"二期洋房118平米：225-250万，137平米：271-285万；
三期洋房86平米：152-175万，107平米：200-220万",毛坯,二期2026/5/15，三期2026/8/31,产品不错，保利央企有品质，自持物业,周边配套不成熟，需要时间，二期绿化一般
38,环城四区,津南区,中国铁建花语天境,＜10套,洋房：80.89.106.127.143㎡,80㎡：153-160 89㎡：174-183  106：215-235万   127㎡：255-280万143㎡/：315-337万,毛坯,2026.6月,产品不错，中铁建央企有品质，自持物业，价格合适,房源很少了
39,环城四区,津南区,融信津南府,＞50套,小高层53㎡.66㎡,35-48万,毛坯,2025-03-31 00:00:00,现房可选,位置差，融信开发商资金问题
40,环城四区,津南区,天地源叠璟院,＞50套,叠拼：上叠196平米,180万左右,毛坯,现房,现房，别墅,北闸口了。。唉，远了啊。
41,环城四区,津南区,金地山川印,＞50套,洋房143 别墅171-196,"洋房143平280-340万
别墅171平450-480万
别墅196平610-640万",毛坯,20260331,改善可选，产品不错，位置不错,双港房源多，流通性问题，地缘性改善偏多
42,环城四区,津南区,保利时代,＞50套,洋房：79/95/113/135㎡,"79平米：90-105万
95平米：108-125万
113平米：137-165万
135平米：155-200万",毛坯,一期：2024/5/31；二期：2025.6月-12月,产品力强，咸水沽配套成熟，物业开发商有保障,咸水沽最东部，周边慌。
43,环城四区,津南区,东亚新华国樾华府,＞50套,洋房115/135㎡,135-190万,毛坯,一期售罄，二期2025年10月,产品力强，咸水沽配套成熟，,咸水沽最东部，周边慌。
44,环城四区,津南区,海玥名邸,＞50套,高层：85/98   洋房118,"85平米：100-110万，98平米：115-125万
118平米170-185万",毛坯,现房,现房便宜,东侧慌。南侧公交站，15层的小高层
45,环城四区,津南区,中建理想城,＞50套,洋房109㎡，126㎡，130㎡，小高89㎡、125㎡，大高82㎡、89㎡、106㎡、117㎡、127㎡    目前排卡阶段,洋房109/126/130㎡：预计26000元/㎡小高89/125㎡：预计22000元/㎡        大高82㎡、89㎡、106㎡、117㎡、127㎡：预计20500元/㎡,毛坯,预计2026年10月,产品力强，环内。位置不错,价格高，刚需可以过度，改善多对比
46,环城四区,津南区,城投东方源筑,＜10套,82m²，88m²,82平90-115万，88平120万,毛坯,现房,辛庄周边成熟，价格便宜,华润撤了，隔壁百万公路加油站，天津大道景观大道噪音
47,环城四区,东丽区,天津汇悦城,＞50套,洋房70/88/104/118,"洋房70㎡：53-58万左右
洋房88㎡：65-71万左右
洋房104㎡：80-89万左右
洋房118㎡：98-110万左右",毛坯,现房,可选性多，价格合适，属于空港滨海,有一段时间资金问题，周边慌，紧邻军粮城二期
48,环城四区,西青区,城投水西东方天宸,10-50套,"128㎡
135㎡
155㎡
175㎡","128㎡总价350-360万左右
135㎡总价380万起
155㎡总价460-490万左右
175㎡总价570-590万左右",毛坯/部分楼栋团装2号楼,一期2025/9/30二期2026/6/30,水西环境好，环线内湖景资源，价格适中,周边配套不全，人气少，城投之前交付项目少
49,环城四区,西青区,金地时光印,＞50套,洋房80/95/110m²,"80㎡：119万起
 95㎡：149万起
110㎡：182万起",毛坯,一期2025年12月底/二期待定,双轨道交通，项目价格合适，学校旁，交付快,南站商务区发展周期略长，高铁有一定噪音，学校是私立并不一定能进
50,环城四区,西青区,融侨方圆,10-50套,上叠144平米下叠157平米 高层：72/82平,别墅230-300万 高层：78-100万,毛坯,叠拼：现房 高层：2025.11月底,现房，门口商业，价格适中,闽系开发，品质后期问题，项目保障房问题
51,环城四区,西青区,保利·和光尘樾,＞50套,小高76/80/87/99/113/127平米,"小高76平米：108-135万；
小高80平米：125-140万；
小高87平米：130-165万；
小高99平米：156-200万；
小高113平米：210-235万；
小高127平米：220-265万",毛坯,现房,现房可选，地铁近，小区品质相对不错,宾水西兑现力问题，学校问题，小区超大体量3500户
52,环城四区,西青区,万科翡翠大道,＞50套,"南地块二期
小高层:84/97㎡
高层：80/89/102㎡ 
洋房：118㎡
北地块二期
高层：77/87/89㎡
洋房：100㎡","南地块：
小高层
 84㎡ 140万
      97㎡ 168万
高层
80㎡ 110-130万
89㎡ 130-140万
102㎡ 150-160万
洋房
118㎡   200-240万
北地块：
高层：
77㎡     103-110万
87㎡     120-132万
89㎡     130-140万
洋房
100㎡   170-210万",精装,"南地块二期2025/7/30,2025/10/31,2025年12月底;北地块二期2026/6/30",万科物业绿化品质不错，价格合适，地铁近，户型可选,杨武庄住宅加上商铺八期开发，项目地价高降标减配，孤盘，体力超大
53,环城四区,西青区,爱情·缤纷里,＞50套,小高：75㎡、80㎡、84㎡、89㎡、96㎡、115㎡、126㎡、140㎡,"75㎡：105-135万；
80㎡：115-125万；
84㎡：104-120万；
89㎡：120-130万；
96㎡：130-150万；
115㎡：145-170万；
 126㎡：165-220万；                                                140㎡：220-240万",毛坯；贝壳团装,一期：现房 二期：2024.12月底,挨着地铁，现房可选，名字好听,宾水西兑现力问题，学校问题，爱情后期物业品质问题。交付问题
54,环城四区,西青区,宝安江南城,10-50套,350/400/480㎡,"别墅：联排350㎡   720 万起
独栋：400㎡ 1170万起
480㎡ 1400-1700万",毛坯,现房,品质不错，徽派江南风格，大独栋特色,总价高，纯改善，小区内部荷花塘北部南运河
55,环城四区,西青区,天安数码城珑园,＞50套,"高层：90/120㎡  洋房：113，127，145，152，154㎡ 联排：430,464㎡ ","高层：
90㎡100-115万
120㎡ 135-140万
洋房：
113㎡ 135-140万
127㎡ 145-155万
145㎡ 170-180万
152㎡ 190-200万
154㎡ 190-200万
联排：
430㎡ 602万
464㎡ 736万",毛坯,现房,现房，可选,价格不合适，位置偏，户型老旧
56,环城四区,西青区,融泰城,10-50套,洋房112、122、127㎡，高层125/143㎡,洋房160-220万；高层175-210万,毛坯/精装,现房,现房，李七庄，,多年老盘，户型差，地铁远产品老
57,环城四区,西青区,金地·藝華里,＞50套,洋房 114、128㎡,洋房195-300万,毛坯,2024-12-31 00:00:00,李七庄现房可选，户型新，3.0产品,南侧大片空地，秀川路堵车，城市界面差
58,环城四区,西青区,绿城晓月晴川,＞50套,洋房98/116/132m²/143,98平：180-190万 116平：210-230万 132平：255-280万 143平：300-320万,毛坯,2026-07-01 00:00:00,李七庄绿城品质好，可选，户型新，3.0产品,南侧大片空地，秀川路堵车，城市界面差
59,环城四区,西青区,金地风华919,＞50套,"洋房：100/117/133/172㎡
叠拼：130/143㎡","洋房：195-460万
叠拼：375-510万",毛坯,2025-12-31 00:00:00,户型好，中北镇配套成熟，价格合适,小区细长条设计，绿化设计相对差，南侧高压线，中北镇最西南侧
60,市内六区,和平区,信达格调美古花园,＞50套,高层75平/100平,高层75平550万左右，100平750万左右,精装修,2026-12-01 00:00:00,和平唯一在售新房，格调品质不错。,小区太小，园林少，价格高。
61,远郊五区,宝坻区,南城拾壹方,10-50套,133、171、202、245、300、330㎡,187-429万/套,毛坯,2025年10月底,价格合适,位置偏，产品参差不齐
62,远郊五区,宝坻区,天宝福苑,10-50套,叠拼190-320,叠拼210-350万,毛坯,现房,产品稀缺，别墅本地改善,位置偏，配套差，外地落户慎选
63,远郊五区,宝坻区,农垦•含章宝邸,＞50套,小高85、87、99、117、170㎡,"小高85平米：75-85万
小高层87平米：86-99万
小高层99平米：97-110万
小高层117平米：123-150万
小高层170平米：180万",毛坯,现房,国企保障，户型可选，,位置偏，地缘性为主
64,远郊五区,宝坻区,首钢·柒里风华,＞50套,"高层：53㎡/78㎡/89㎡
洋房：101㎡/104㎡",高层：38万~65万    洋房：68~70万,毛坯,现房,现房，宝坻新城高铁，价格便宜,位置偏，配套差远郊，价格不稳 
66,远郊五区,宝坻区,浩润嘉苑,10-50套,高层：86/97/105㎡ 洋房：112/117㎡,高层：62-90万洋房：123-169万,毛坯,四期2023-6-30,门槛低，品质一般,位置偏，配套差远郊，价格不稳 
67,远郊五区,宝坻区,建投·君诺学府,10-50套,96㎡1层、147㎡、205㎡,110-280万,毛坯,现房,圈层好，大户型为主,位置偏，配套差远郊，价格不稳 
68,远郊五区,宝坻区,南城时光,＜10套,小高：120平,小高：140万,毛坯,现房,价格合适产品单一,位置偏，配套差远郊，价格不稳 
69,远郊五区,静海区,林奇郡中心城,＞50套,高层86/88/109/112平；别墅251平,高层86/88平56万起，109/112平70万起；别墅251平260万起,毛坯,现房,便宜，环境不错,团泊东饼也挺大，四大湖远近闻名
70,远郊五区,静海区,林奇岛,＞50套,联排149/169/198平；叠拼147/148平,"联排149平150-190万起,169平170-230万起，198平300-340万起；叠拼上叠148平120-145万，下叠147平150-180万",毛坯,现房,便宜，环境不错,团泊东饼也挺大，四大湖远近闻名
79,滨海新区,塘沽区,珊瑚海广场,10-50套,商业一层50-150㎡，二层50-130㎡，三层50-130㎡,商业一层190-520万，二层180-495万，商业三层150-380万,毛坯,现房,现房,商业，可选性差，流通性问题
80,滨海新区,塘沽区,南湾壹号,＞50套,103/120/140,189-224 万,精装,2025-10-30 00:00:00,稀缺景观资源与低密居住体验‌，配套成熟且教育资源突出‌,交通便利性不足‌，周边发展待完善‌小区体量较小，仅3种户型（101-140㎡），选择空间有限‌
81,滨海新区,塘沽区,中国铁建·滨海梧桐,＞50套,小高(一期）81/98㎡，洋房108/127/143㎡，小高（二期）90/105/115/123,"一期小高90－150万，
洋房152-250万，
二期小高123-180万",毛坯,一期小高2024年11月，洋房2025年10月，二期小高2025年10月,开发商实力与产品设计‌，紧邻滨海西站800米。交通与区位优势‌，生活配套与教育资源,区域成熟度与生活便利性，价格与性价比争议‌
82,滨海新区,塘沽区,泽信·渤龙云筑,＞50套,洋房90/100/110,"洋房90平米： 82-90万；
洋房100平米：92-102万；
洋房110平米：105-112万；",毛坯,现房,现房，可选性高，可转学,渤龙湖晋级为五大湖，周边人气少，配套问题
83,滨海新区,塘沽区,格调林泉,10-50套,小高109/125/145/160/180m²,295-510万,毛坯,现房,‌交通便利性突出‌，教育资源丰富‌，周边3公里内拥有滨海金隅嘉品Mall、泰达MSD等商业综合体，产品设计与居住体验‌,临近洞庭路的楼栋存在交通噪音干扰，影响居住静谧性‌，区域以居住功能为主，缺乏产业支撑，高端商业配套仍需依赖远距离商圈‌
84,滨海新区,塘沽区,际华园天津府,＞50套,小高：80/89/104/115m² ,"80户型精装132万起
89户型精装164-169万
104户型精装197-202万
115户型精装208-215万",精装,2025-09-01 00:00:00,创新设计与立体空间利用‌，入户暖廊‌，开发实力与交付保障‌,响螺湾板块，功能性与噪音问题‌，价格偏高，性价比争议较大‌
85,滨海新区,塘沽区,中铁滨城云著,＞50套,75/89/95/108m²,高层75平米：65-70万，高层89平米：75-85万，高层95平米：82-92万，高层108平米：95-105万,毛坯,预计2025年底,"央企开发商实力强，品牌保障‌
低密生态设计，产品丰富，户型多样且功能性强‌
价格优势明显，均价低于周边‌
地铁B1线在建，未来交通改善‌
教育资源丰富，实验学校等‌
生活配套齐全，商业和会所设施","区域成熟度低，配套需时间完善‌
当前交通依赖自驾，公共交通不足‌
位置相对偏远，距离核心区较远‌"
90,环城四区,东丽区,中交海河玺,＞50套,小高层：106/126143/173 洋房：129/143㎡,"小高106平米:230-275万
小高126平米：280-310万
小高143平米：340-400万
小高173平米：450-500万
洋房129平米：360-400万
洋房143平米：410-450万",毛坯,2026.6.30,产品力强，物业不错，新一代设计,天钢板块第一个项目，周期长，工地生活要适应
95,环城四区,西青区,金地·水西印,＞50套,"洋房
115㎡
131㎡
143㎡
173㎡
叠拼
134㎡
143㎡
159㎡
178㎡","洋房
115㎡总价：290-330万
131㎡总价：350-380万
143㎡总价：420-460万
173㎡总价：560-580万
叠拼
134㎡总价：480-490万
143㎡总价：630-640万
159㎡总价：610-680万
178㎡总价：830-930万",毛坯,2025-12-31 00:00:00,水西环境好，环线内湖景资源，价格适中,水西板块最边缘，离水西公园很远。
96,环城四区,津南区,中建悦庐棠墅,＞50套,洋房:89-129平叠拼:136-168平平墅:155平,"洋房
89 平160-180万
109平210-220万
117平235-255万
129平270-290万
叠拼
136平上叠中户310-350万
145平上叠边户375-385万
143下叠中户500万左右
168下叠边户630万左右
平墅
155平385-400万",毛坯,2026.5.15,产品力强户型好。开发商物业有保障,交付周期长，大期房，周边配套一般。
97,市内六区,河西区,博岸名邸,10-50套,洋房：133㎡大两室，147-189㎡三室，200-377平米跃层四-七室,"两室133平米（487～527万）
三室147平米（517～563万）
三室150平米（526～571万）
三室169平米（588～637万）",毛坯,现房,现房，海河边，观景,快速路吵得要命，北向观海河，欧洲设计不符合国人审美
98,远郊五区,宝坻区,建投君诺壹號府,＞50套,108㎡、128㎡、141㎡、176㎡,"108㎡：120-140万
128㎡：145-175万
141㎡：186-210万
176㎡：280万左右",毛坯,2026-08-01 00:00:00,品质不错，户型可选,位置偏，配套差远郊，价格不稳 
99,市内六区,河西区,东舍宅,＞50套,29m²，36m²，42m²，58m²," 29㎡一居总价160-180万
   36㎡一居总价170-190万
   42㎡一居总价180-190万
   58㎡两居总价220-240万",精装,2024-10-01 00:00:00,现房，河西一片转学。,价格高，可选性低，湘江道八号，，
100,滨海新区,大港区,小岛壹号,10-50套,洋房140/160平米,220万-270万左右,毛坯,2025-12-31 00:00:00,本地改善，准现房,偏，一般本地人都很少去，油田本地职工为主
101,市内六区,河西区,中海凌云源境,＞50套,小高层：87、107㎡洋房：91.110.119.129㎡,126户型520-620万，108户型435-520万，91户型365-390万,毛坯,2025-12-31 00:00:00,产品力强，户型好，设计新，架空层,陈塘庄需要一定周期，目前南侧空地相对较多，
102,远郊五区,宝坻区,宝境棠棣,＞50套,88㎡、114㎡、118㎡、135㎡,"88㎡：69-80万
114㎡：98-103万
118㎡：103-110万
135㎡：115-120万",毛坯,现房,现房落户，产品品质一般,位置偏，配套差远郊，价格不稳 
103,市内六区,河西区,创意之城锦园,＞50套,高层：89、99、109㎡小高：128㎡,"高层89平米:265-275万
高层99平米：320-340万
高层106平米：340-360万
小高层128平米：420-460万",毛坯,2026-12-31 00:00:00,可选，户型产品不错,一期价格高，柳林周期长，刚起步
104,市内六区,河西区,纯皓家园,＞50套,高层：91-94㎡,"91-93全阳:255万起
92-94平：南北通透:290万起",精装,现房,河西二片，部分转学可选，价格便宜,二片是河西转学片区内最差的片了。
106,滨海新区,大港区,天逸华府,＞50套,叠拼：152㎡-276㎡（有赠送）洋房：145㎡,叠拼：275-380万 洋房220-290万,毛坯,预计26.3月交房,本地改善，可选性多,偏，一般本地人都很少去，油田本地职工为主
108,环城四区,西青区,金地时代印,＜10套,高层89㎡/103㎡/110㎡,"高层89㎡：85万
高层103㎡：110万 高层110㎡：125万",毛坯,预计2027.5,大寺板块101汽车园隔壁，周边小区太多，价格相对合适,周边乱，地缘性为主，交付晚
109,环城四区,西青区,御河臻璟,＞50套,洋房：115/128/143㎡,"115㎡：270万起
128㎡：320万起
143㎡：370万起",毛坯,2026.10月,西青第一个架空层小区，设计新颖，户型相对还可以,新城代建，之前交付小区品质问题，大高层设计。
110,环城四区,津南区,绿地·津澜,＞50套,89-110-130-160平米,"89平115万起
110平160万起
130平200万起
160平245万起",精装,2026.12.31,辛庄周边成熟，价格便宜,绿地之前一段时间资金问题
111,市内六区,河东区,城投东方紫宸,＞50套,小高89/105，洋房110/128,小高89：250-260万，小高105：300-320万，洋房110：340-370万  洋房128：410-440万,毛坯,2026-09-01 00:00:00,可选性多，产品力强，园林绿化不错,小区整体位置较差，万爱板块最北侧，地铁远
112,市内六区,红桥区,建投誉河院,10-50套,小高层97/114/129 洋房135,小高层255-360w，洋房385-410w,毛坯,2026-12-01 00:00:00,产品力强，大开间落地窗，价格合适,周边都是荒地，西于庄刚开始开发有周期，目前十期开发
113,市内六区,河东区,华勘鈺府,＞50套,小高：87/95/96/115平米、洋房：109/111/125/129/140/143平米,"小高层均价2.4万元/平(18层到顶)
87平两室205万起
95平三室228万起
96平三室230万起
115平三室276万起
洋房均价2.7万元/平（10层11层到顶）
109平三室295万起
111平三室299万起
洋房均价2.9万元/平（8层到顶）
125平三室362万起
129平三室374万起
140平三室406万起
143平三室414万起",毛坯,2026.6.30,可选性多，,价格贵，位置差，产品一般
114,环城四区,津南区,中海长林郡,＞50套,洋房：80、89、107、129,"80户型，135万-148万
89户型，150万-166万
107户型，185万-202万
129户型，237-258万",毛坯,2026年8月（5.15号后可以办房产证）,户型可选，央企品质，物业不错,近两年中海交付部分项目问题，周边配套问题，处于海教园北部片区
116,环城四区,西青区,金地藝墅家·风华印,＞50套,洋房：89、113、128㎡,洋房：146-240万,毛坯,2026.12.31,精武镇大学城板块，周边人气足，价格相对合适,西侧空地，烂尾商业汇悦城，地铁远。学校一般
